friendly_class,opponent_class,turn,noplay_num,win_noplay,no_play_CI,pick1_num,win_pick1,win_pick1_ci,pick5_num,win_pick5,win_pick5_ci,pick10_num,win_pick10,win_pick10_ci
WARLOCK,PRIEST,8,21513,57.968,0.433188323,286,-22.284,3.329207391,1266,1.708,1.655696726,1665,9.504,1.570285951
WARLOCK,PRIEST,9,20135,58.012,0.425505998,138,-14.44533333,4.907902172,1620,-2.42,1.345632148,1919,8.388,1.481678515
WARLOCK,PRIEST,10,18969,58.272,0.381426981,84,-6.9595,8.206312972,1299,-2.252,1.343083539,1820,8.484,0.962364556
WARLOCK,PRIEST,11,18127,58.572,0.441020465,96,-0.176,6.95193589,1066,1.204,2.009946556,1430,10.764,1.527749407
WARLOCK,PRIEST,12,17668,58.664,0.425100802,73,-7.433565217,8.275577843,771,3.508,1.940885973,1082,12.576,1.722395571
WARLOCK,ROGUE,3,27092,49.568,0.546699133,58,-13.80133333,7.61431287,435,2.036,3.236608583,30,-17.11536842,11.97498539
WARLOCK,ROGUE,4,20567,47.508,0.549833886,317,-11.104,4.18528614,9253,6.776,0.995620828,339,1.888,2.620418138
WARLOCK,ROGUE,5,19037,47.032,0.530922253,1349,-4.248,1.795696638,3334,5.444,1.251937593,261,4.516,3.961467773
WARLOCK,ROGUE,6,18930,47.176,0.545832434,954,-13.164,1.55918071,1922,6.48,1.272232137,300,6.9,4.2118981
WARLOCK,ROGUE,7,18567,47.212,0.622331924,947,-9.36,2.081147101,1553,12.8,1.825309166,550,17.644,2.811625768
WARLOCK,ROGUE,8,18079,47.324,0.655961392,574,-6.012,2.560128213,1294,15.448,1.739597372,835,15.524,2.330935392
WARLOCK,ROGUE,9,17120,46.552,0.639651039,193,7.02,4.891146743,1459,15.456,1.321366332,896,24.092,1.8328031
WARLOCK,ROGUE,10,16543,46.132,0.710295275,84,20.552,7.589070454,945,15.98,2.5466663,663,26.228,1.864327965
WARLOCK,ROGUE,11,16376,46.292,0.693103883,50,7.403652174,10.22723512,480,19.792,2.485515,388,25.884,3.303039137
WARLOCK,ROGUE,12,16407,46.488,0.680129516,33,14.78847059,12.79311117,232,24.5,4.310895036,185,28.184,3.824794538
WARLOCK,SHAMAN,3,56691,55.488,0.269628865,101,-23.336,7.492912706,851,-0.656,2.724003216,32,8.262,11.37222651
WARLOCK,SHAMAN,4,42071,53.956,0.393947382,618,-17.468,2.809831239,20445,5.544,0.380909238,789,5.292,2.111400674
WARLOCK,SHAMAN,5,38878,53.348,0.385029284,3044,-4.944,1.498706114,6810,7.56,0.69859625,655,3.22,2.252756664
WARLOCK,SHAMAN,6,38909,53.824,0.383411228,1775,-12.02,1.224631208,4064,5.904,0.760038334,898,6.764,2.144201756
WARLOCK,SHAMAN,7,37868,53.932,0.371346745,1420,-11.192,1.597450119,3609,8.644,1.415107992,1820,12.796,1.243420844
WARLOCK,SHAMAN,8,36093,53.72,0.349912302,950,-5.912,1.999729139,3136,10.572,0.988716121,2767,12.992,1.093894711
WARLOCK,SHAMAN,9,33110,52.992,0.407919021,345,-1.024,2.840579378,3514,9.56,1.410547658,3044,17.216,0.883270113
WARLOCK,SHAMAN,10,31081,52.744,0.497189325,187,11.012,3.938045268,2375,9.268,1.166605737,2673,17.84,1.055604891
WARLOCK,SHAMAN,11,29990,52.648,0.518625221,148,10.976,5.786202742,1512,11.504,1.348215111,1938,19.544,1.224847566
WARLOCK,SHAMAN,12,29676,52.844,0.459264916,88,11.72556522,7.458406784,971,11.6,1.736272891,1230,20.62,1.831106306
WARLOCK,WARLOCK,3,22808,52.376,0.432415519,29,-12.93155556,12.38641917,275,0.96,4.051338987,72,-3.346833333,8.310405875
WARLOCK,WARLOCK,4,21206,50.992,0.375514963,111,-9.7295,6.797727934,4194,7.488,0.938528303,618,2.188,2.412809204
WARLOCK,WARLOCK,5,21482,50.508,0.370172235,638,4.952,1.774668253,1806,5.108,1.503970185,450,5.256,2.927385512
WARLOCK,WARLOCK,6,22450,50.808,0.370109657,490,-6.668,3.778706414,1125,4.68,1.713514733,534,1.504,2.293067425
WARLOCK,WARLOCK,7,22503,50.82,0.429228376,464,-3.036,3.914717166,1133,4.528,1.803746188,1070,5.18,2.023141202
WARLOCK,WARLOCK,8,22061,50.572,0.360381475,307,0.328,4.899443592,1109,6.572,2.830567552,1461,6.224,2.042278943
WARLOCK,WARLOCK,9,20875,50.748,0.407362169,170,7.932,4.391862956,1312,5.78,1.621234376,1681,2.2,1.462056337
